Sale Order No,Shipping Package Code,Shipping Package Status,Shipping Provider,Shipping Courier,AWB No,Return Delivery Date,RTO Reason,Created,Channel Created,Return Manifest Code,Return Manifest Status,Return Manifest Created By,Return Manifest Created At,Reshipment Action,Channel,Putaway No,Putaway Status,Putaway By,Putaway Date,Dispatch Facility,Return Facility
17197720973541824267,XBFN2024-2524534,RETURN_ACKNOWLEDGED,xpressbees_jio,,14591741933489,,,2024-07-05 16:46:55,2024-07-05 16:46:55,RM2024-258783,CLOSED,arpit.tiwari@xpressbees.com,2024-07-17 17:47:24,,JIOMART3P_API_BODYGLOVE_FARUKNAGAR,PT2374923,CREATED,arpit.tiwari@xpressbees.com,2024-07-17 17:47:24,XB Farukhnagar,XB Farukhnagar
431662765005769100,XBFN2024-2524537,RETURN_ACKNOWLEDGED,E-Kart Logistics,,FMPC3839924062,,,2024-07-03 00:34:38,2024-07-03 00:34:38,RM2024-258812,CLOSED,arpit.tiwari@xpressbees.com,2024-07-17 17:48:07,,FK_BG_FRK,PT2374952,CREATED,arpit.tiwari@xpressbees.com,2024-07-17 17:48:08,XB Farukhnagar,XB Farukhnagar
S251821678,XBFN2024-2524544,RETURN_EXPECTED,DELHIVERY,,195042060979722,2024-07-09 22:56:02,,2024-07-08 18:56:13,2024-07-08 18:56:13,,,,,,AJIO Dropship_Farukhnagar,,,,,XB Farukhnagar,XB Farukhnagar
S251822534,XBFN2024-2524548,RETURN_EXPECTED,DELHIVERY,,195042061004476,2024-07-11 22:42:09,,2024-07-09 18:38:10,2024-07-09 18:38:10,,,,,,AJIO Dropship_Farukhnagar,,,,,XB Farukhnagar,XB Farukhnagar
431662957461635100,XBFN2024-2524565,RETURN_ACKNOWLEDGED,E-Kart Logistics,,FMPC3843084623,,,2024-07-11 04:29:57,2024-07-11 04:29:57,RM2024-2523306,CLOSED,arpit.tiwari@xpressbees.com,2024-07-26 00:50:11,,FK_BG_FRK,PT3026903,CREATED,arpit.tiwari@xpressbees.com,2024-07-26 00:50:11,XB Farukhnagar,XB Farukhnagar
S251827947,XBFN2024-2524566,RETURN_EXPECTED,DELHIVERY,,195042061055650,2024-07-20 06:13:05,,2024-07-15 18:07:20,2024-07-15 18:07:20,,,,,,AJIO Dropship_Farukhnagar,,,,,XB Farukhnagar,XB Farukhnagar
S251834997,XBFN2024-2524582,RETURN_EXPECTED,XPRESSBEES,,13670416723026,,,2024-07-09 10:47:10,2024-07-09 10:47:10,,,,,,AJIO Dropship_Farukhnagar,,,,,XB Farukhnagar,XB Farukhnagar
93ed0630-1c6a-4a51-933e-9b210e714f5e,XBFN2024-2524583,RETURN_ACKNOWLEDGED,ATS,,342406070561,2024-07-12 18:17:48,REJECT,2024-07-02 08:39:58,2024-07-02 08:37:19,RM2024-258759,CLOSED,arpit.tiwari@xpressbees.com,2024-07-17 14:42:14,,AMAZON_FLEX_API_BODYGLOVE_FARUKNAGAR,PT2365979,CREATED,arpit.tiwari@xpressbees.com,2024-07-17 14:42:14,XB Farukhnagar,XB Farukhnagar
55e2f638-893d-4623-bcd6-cfddb192a8e3,XBFN2024-2524586,RETURN_ACKNOWLEDGED,ATS,ATS,627170975718,2024-07-10 21:00:49,REJECT,2024-07-05 13:30:50,2024-07-03 12:29:47,RM2024-258696,CLOSED,arpit.tiwari@xpressbees.com,2024-07-15 15:23:28,,AMAZON_FLEX_API_BODYGLOVE_FARUKNAGAR,PT2250782,CREATED,arpit.tiwari@xpressbees.com,2024-07-15 15:23:28,XB Farukhnagar,XB Farukhnagar
8200a412-fb57-4fc4-8a6f-76ff78b12d40,XBFN2024-2524588,RETURN_ACKNOWLEDGED,ATS,ATS,627178249927,2024-07-10 21:00:49,REJECT,2024-07-06 14:59:22,2024-07-05 12:53:33,RM2024-258691,CLOSED,arpit.tiwari@xpressbees.com,2024-07-15 15:15:04,,AMAZON_FLEX_API_BODYGLOVE_FARUKNAGAR,PT2249485,CREATED,arpit.tiwari@xpressbees.com,2024-07-15 15:15:05,XB Farukhnagar,XB Farukhnagar
